"All","全部"
"None","无"
"Allowed Scopes","错误的店铺ID：%1"
"You need more permissions to delete this item(s): %1.","你需要更多的权限来删除此项目: %1。"
"You need more permissions to apply some of the rule updates.","My name "
"Please assign this entity to a store view.","请指定这个商店视图。"
"You can create orders only in an active store.","您只能在有效的商店内创建订单。"
"Please assign this item to a store view.","请将此项目分配给存储视图。"
"You need more permissions to save this item.","你需要更多的权限，无法保存此项目。"
"You need more permissions to delete this item.","你需要更多的权限来删除此项目。"
"You need more permissions to view this item.","您需要更多的权限才能查看此项。"
"Please specify at least one website or one store group.","请指定至少一个网站或一个存储组。"
"You need more permissions to set All Scopes to a Role.","您需要更多的权限，才能将所有作用域设置为角色。"
"Incorrect website ID: %1","不正确的网站 ID: %1"
"You need more permissions to access website ""%1"".","你需要更多的权限来访问网站""%1""。"
"Incorrect store ID: %1","不正确的商店 ID: %1"
"You need more permissions to save this setting.","你需要更多的权限，以保存该设置。"
"Role Scopes","作用范围"
"Custom","自定义"
