"Manage Shopping Cart","应用优惠券"
"Create Order","未指定项目"
"Back","后退"
"Add Products","添加产品"
"Update Items and Quantities","更新项目及数量"
"Are you sure you want to clear your cart?","确实要清除您的购物车吗?"
"Clear my shopping cart","清空我的购物车"
"Add selections to my cart","添加到我的车"
"Cancel","保存"
"Shopping Cart for %1 in %2","在 %2 %1 的购物车"
"Select products you want to buy","选择你想要买的产品"
"Product","产品"
"Price","价格"
"Quantity","数量"
"Products in the Comparison List (%1)","在比较列表中的产品 (%1)"
"Last ordered items (%1)","最后订购的商品 (%1)"
"Products","产品展示"
"ID","ID"
"SKU","SKU"
"Recently Compared Products (%1)","最近比较的产品 (%1)"
"Recently Viewed Products (%1)","最近浏览过的产品 (%1)"
"Add to Shopping Cart by SKU","根据库存量单位SKU添加到购物车"
"Add to Shopping Cart","添加到购物车"
"Wish List (%1)","收藏夹 (%1)"
"Apply","应用"
"Configure","配置"
"Add to Order by SKU","根据库存量单位SKU添加到订单"
"Add to Order","添加到订单"
"Add Products to Order","将产品添加到订单"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> 产品需要关注。</span>"
"Remove All","删除所有"
"Only %1%2%3 left in stock","仓库中只有 %1%2%3 左右"
"You can buy up to %1 of these per purchase.","每次购买，您可以购买最多%1。"
"You must buy at least %1 of these per purchase.","每次购买，您必须购买至少%1。"
"Specify the product's options.","指定的产品选项。"
"Alert me when this item is available.","当产品有效时，请通知我。"
"We can't find this customer.","我们无法找到这个顾客。"
"Shopping cart management is disabled for this customer.","购物车管理禁用于此顾客。"
"We can't find this store.","我们无法找到这个店铺。"
"Customers","客户"
"Shopping Cart","购物车"
"Sorry, something went wrong. You can find out more in the error log.","抱歉，出问题了。你可以在错误日志中找到更多的信息。"
"You do not have access to this.","你没有权限访问这个页面。"
"Ordered item id is not received.","订购的产品ID还没有收到。"
"Ordered item is not loaded.","订购的产品没有装载。"
"Quote item id is not received.","总计 %1 产品"
"Quote item is not loaded.","报价产品没有装载。"
"The wish list item id is not received.","愿望单列表产品ID没有接受到。"
"The wish list item is not loaded.","愿望单列表产品没有装载。"
"An error has occurred. See error log for details.","出问题了。详细信息请查阅错误日志。"
"You cannot configure a product.","你不能配置这个产品。"
"You removed the items.","您删除的产品。"
"You removed the item.","您已删除了这个产品。"
"You added %1 to your shopping cart.","您已添加 %1 到您的购物车"
"You cannot add a product.","您不能添加产品。"
"Order by SKU","按 SKU 编码排序"
"SKU not found in catalog.","在分类中未找到的 SKU。"
"Availability: Out of stock.","库存: 缺货。"
"We don't have as many of these as you want.","您想要的超出我们的存量。"
"You can't add this many to your cart.","您添加的数量已经超出购物车"
"You need to choose options for your item.","你需要选择你的项目的选择。"
"We can't add the item to your cart.","您不能添加此产品到您的购物车"
"Please enter an actual number in the ""Qty"" field.","请在""Qty""字段中输入的实际数。"
"This product is assigned to another website.","本产品被分配给另一个网站。"
"You can add only enabled products.","您可以添加只启用的产品。"
"You cannot upload this file.","你无法上传此文件。"
"The file is empty.","该文件是空的。"
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","您还没有输入产品的 SKU。请 <a href=""%1""> 单击此处</a> 以添加产品的 SKU。"
"You have not entered a product SKU.","您还没有输入产品的 SKU。"
"We can't add a product to cart by id \"%1\".","我们不能添加产品到购物车由 id \"%1\"。"
"Something went wrong while reordering this product.","本产品的重新排序时，出了错。"
"We can't find this wish list.","我们找不到这个愿望清单。"
"You added %1 product to your shopping cart.","%1 产品已经添加到您的购物车。"
"You added %1 products to your shopping cart.","%1 产品已经添加到您的购物车。"
"%1 product requires your attention.","%1 产品需要您注意。"
"%1 products require your attention.","%1 产品需要您注意。"
"Yes, for Specified Customer Groups","是的，每个人"
"Yes, for Everyone","是的，对所有人生效。"
"No","否"
"The file is corrupt.","该文件已损坏。"
"This file needs to be in .csv format.","此文件必须以.csv 格式。"
"%1 item(s) need your attention.","%1 项目需要您的关注。"
"Apply Coupon Code","适用的优惠券代码"
"Remove Coupon Code","删除优惠券代码"
"Remove","删除"
"The coupon code ""%1"" is not valid.","编辑项目参数"
"Shopping Cart Items","购物车里的产品"
"Qty","数量"
"Subtotal","小计"
"Discount","折扣"
"Row Subtotal","行小计"
"Action","操作"
"No ordered items","没有订购项"
"Total %1 product(s)","总计%1 产品"
"Subtotal:","小计："
"Please select","请选择"
"Move to Wish List","移动到收藏清单"
"No item specified.","没有指定的项。"
"Are you sure you want to remove this item?","你确定要删除这个项目吗？"
"SKU number","SKU编号"
"Upload File","上传文件"
"Your csv file must include ""sku"" and ""qty"" columns.","您的 csv 文件必须包括""sku""和""数量""列。"
"Reset","重置"
"SKU: ","SKU："
"Only <span id=""%1_max_allowed"">%2</span> in stock","只有 <span id=""%1_max_allowed"">%2</span> 有货"
"Item","产品"
"See price before order confirmation.","确认订单前显示价格。"
"What's this?","这是什么？"
"Incl. Tax","含。税"
"Excl. Tax","不包括消费税"
"Edit item parameters","修改参数"
"Edit","编辑"
"Remove item","删除项目"
"Products Requiring Attention","需要关注的好东西"
"Add to Cart","添加到购物车"
"Sku","Sku"
"File","文件"
"File extensions allowed: .csv","允许用的文件扩展类类型"
"Add Row","添加行"
"Remove Row","删除行"
"Add Products By SKU","添加产品的 SKU"
"Order by SKU Settings","通过SKU设置命令"
"Enable Order by SKU on My Account in Storefront","启用 SKU 我的帐户在店面上按顺序排列"
"Customer Groups","客户组"
"Apply Coupon","申请优惠券"
"Shopping Cart Management","购物车管理"
"Order by SKU Description","按SKU 描述顺序排列"
"Display a Link to Loading a Spreadsheet","加载的SKU的列表"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","规定是否链接到我的账户 &gt; 按SKU 页顺序将显示小部件上"
"Link Text","链接文本"
"The text of the link to the My Account &gt; Order by SKU page","链接到我的账户的文本 &gt; 按SKU 页顺序排列"
"Load a list of SKUs","加载 Sku 的列表"
"Order by SKU Template","通过 SKU 模板"
