"Invalid Form Key. Please refresh the page.","市场"
"You entered an invalid Secret Key. Please refresh the page.","您输入了无效的密钥。请刷新此页面。"
"Cache Storage Management","缓存存储管理"
"Flush Magento Cache","刷新 Magento 缓存"
"The cache storage may contain additional data. Are you sure that you want to flush it?","缓存储存可能包含其他数据。你确定要刷新它?"
"Flush Cache Storage","刷新缓存存储"
"Invalidated","无效"
"Orders","订单"
"Amounts","金额"
"Bestsellers","无法刷新全部统计"
"Most Viewed Products","查看最多的产品"
"New Customers","请在该字段中输入大于或等于1的数字"
"Customers","客户"
"Customer","客户"
"Guest","访客"
"Items","产品"
"Total","总额"
"Lifetime Sales","终身销售"
"Average Order","平均订单"
"Average","平均"
"Product","产品"
"Price","价格"
"Quantity","数量"
"Views","视图"
"Revenue","收入"
"Tax","税"
"Shipping","运费"
"Images (.gif, .jpg, .png)","取消可见"
"Media (.avi, .flv, .swf)","媒体 (.avi、.flv，.swf)"
"All Files","所有文本"
"Reset to Default","重置为默认值"
"All Store Views","所有商店界面"
"What is this?","这是什么？"
"Save Account","保存帐户信息"
"My Account","我的账户"
"Account Information","账户信息"
"User Name","用户名称"
"First Name","姓"
"Last Name","姓氏"
"Email","邮箱"
"User Email","界面语言"
"New Password","新密码"
"Password Confirmation","密码确认"
"Interface Locale","界面区域设置"
"Current User Identity Verification","当前的用户身份验证"
"Your Password","您的密码"
"Save Cache Settings","保存缓存设置。"
"Catalog Rewrites","目录重写"
"Refresh","刷新"
"Images Cache","图像缓存"
"Clear","清空"
"Search Index","搜索索引"
"Rebuild","重建"
"Inventory Stock Status","库存状态。"
"Rebuild Catalog Index","重建目录索引"
"Rebuild Flat Catalog Category","重建平面目录类别"
"Rebuild Flat Catalog Product","重建平面目录产品"
"Cache Control","高速缓存控制"
"All Cache","所有缓存"
"No change","没有变化"
"Disable","禁用"
"Enable","启用"
"Add Design Change","添加设计更改"
"Back","后退"
"Delete","删除"
"Are you sure?","您确定吗？"
"Save","保存"
"Edit Design Change","编辑设计更改"
"New Store Design Change","新店设计更改"
"General Settings","一般设置"
"Store","商店"
"-- Please Select --","-- 请选择 --"
"Custom Design","网站模板设计"
"Date From","始于"
"Date To","到目前为止"
"Design Change","设计更改"
"General","基本的"
"Cancel","保存"
"Delete %1 '%2'","删除 %1 '%2'"
"Delete %1","删除 %1"
"Block Information","块信息"
"Backup Options","备份选项"
"Create DB Backup","创建数据库备份"
"Yes","是"
"No","否"
"Delete Store","删除存储区"
"Delete Web Site","删除网站"
"Save Web Site","保存 Web 站点"
"Save Store","保存店铺"
"Save Store View","保存存储视图"
"Delete Store View","删除存储视图"
"Edit Web Site","编辑网站"
"New Web Site","新的 Web 站点"
"Edit Store","编辑店铺"
"New Store","新店"
"Edit Store View","编辑存储视图"
"New Store View","新的存储视图"
"Store Information","存储信息"
"Web Site","网站"
"Name","名字"
"Root Category","默认商店"
"Default Store View","默认存储视图"
"Store View Information","存储视图信息"
"Code","代码"
"Status","状态"
"Disabled","禁用"
"Enabled","启动"
"Sort Order","排序"
"Web Site Information","网站信息"
"Default Store","默认存储"
"Set as Default","设置为默认"
"Stores","商店"
"Create Website","创建网站"
"Create Store","创建存储"
"Create Store View","创建存储视图"
"Home","首页"
"Reset","重置"
"Are you sure you want to do this?","您确认要这么做么？"
"Add New Image","添加新的映像"
"Export block for grid %1 is not defined","未定义网格 %1 出口块"
"Reset Filter","重置筛选器"
"Search","搜索"
"Any","任何"
"All Countries","所有国家"
"From","从"
"To","至"
"Date selector","日期选择器"
"[ deleted ]","[ 已删除 ]"
"Select All","选择全部"
" [deleted]"," [删除]"
"We couldn't find any records.","我们找不到任何记录。"
"Add New","新加"
"Invalid export type supplied for grid export block","为网格出口块提供了无效的导出类型"
"Export","导出"
"Please correct the column format and try again.","请更正的列格式，再试一次。"
"Please select items.","请选择产品"
"Submit","提交"
"Unknown block type","未知模块类型"
"Please correct the tab configuration and try again. Tab Id should be not empry","请更正选项卡配置，然后重试。选项卡 Id 应该不是 empry"
"Please correct the tab configuration and try again.","请更正选项卡配置，然后重试。"
"You have logged out.","您已登出。"
"Specified cache type(s) don't exist: %1","指定缓存类型不存在: %1"
"The image cache was cleaned.","图像缓存被清除了。"
"An error occurred while clearing the image cache.","清除图像缓存时出错。"
"The JavaScript/CSS cache has been cleaned.","JavaScript 和 CSS 缓存已清理。"
"An error occurred while clearing the JavaScript/CSS cache.","清除的 JavaScript 和 CSS 缓存时出错。"
"The static files cache has been cleaned.","静态文件缓存已清理。"
"You flushed the cache storage.","你已刷新缓存存储。"
"The Magento cache storage has been flushed.","Magento 缓存存储已被刷新。"
"Cache Management","管理商店"
"%1 cache type(s) disabled.","%1 缓存类型禁用。"
"An error occurred while disabling cache.","禁用缓存时出错。"
"%1 cache type(s) enabled.","启用 %1 缓存类型。"
"An error occurred while enabling cache.","启用缓存时出错。"
"%1 cache type(s) refreshed.","%1 缓存类型刷新。"
"An error occurred while refreshing cache.","刷新缓存时出错。"
"Dashboard","控制面板"
