"Root","根"
"Save Category","概况"
"Delete Category","删除类别"
"Reset","重置"
"New Subcategory","新子类别"
"New Root Category","新根类别"
"Set Root Category for Store","存储设置的根类别"
"Use Config Settings","使用配置设置"
"Use All Available Attributes","使用所有可用的属性"
"Custom Design","网站模板设计"
"ID","ID"
"Name","名字"
"SKU","SKU"
"Price","价格"
"Position","位置"
"Category Data","分类数据"
"Category Products","类别产品"
"Add Subcategory","添加子类别"
"Add Root Category","添加根类别"
"Day","天"
"Month","年"
"Year","年 "
"<label class=""label""><span>from</span></label>","<label class=""label""> <span>从</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""> <span>到</span></label>"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[STORE VIEW]"
"WYSIWYG Editor","所见即所得编辑器"
"Add Product","添加产品"
"label","标签"
"Product Attributes","产品属性"
"Add New Attribute","该属性不存在"
"Save in New Attribute Set","将保存在新的属性集"
"Enter Name for New Attribute Set","输入新的属性集的名称"
"Save and Continue Edit","保存并继续编辑"
"Save Attribute","保存属性"
"Delete Attribute","删除属性"
"Edit Product Attribute ""%1""","编辑""%1""的产品属性"
"New Product Attribute","新的产品属性"
"Advanced Attribute Properties","高级的属性"
"Attribute Code","属性代码"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","这是在内部使用。确保你不要使用空格或超过1%的符号。"
"Default Value","默认值"
"Unique Value","组ID为“%1”不存在。"
"Unique Value (not shared with other products)","(不能与其他产品共享) 的独特价值"
"Not shared with other products","不能与其他产品共享"
"Input Validation for Store Owner","输入商店所有者的验证信息"
"Add to Column Options","添加到列选项"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","选择""是""，将此属性添加到产品网格中的列选项的列表。"
"Use in Filter Options","使用筛选器选项"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","选择""是""，将此属性添加到列表中的筛选器选项产品网格中。"
"Store View","商店界面"
"Website","网站"
"Global","全球"
"Scope","范围"
"Declare attribute value saving scope","声明属性值保存范围"
"Storefront Properties","前台属性"
"Use in Search","在搜索中的使用"
"Visible in Advanced Search","可见在高级搜索中"
"Comparable on Storefront","在前端可比"
"Use for Promo Rule Conditions","促销规则的情况下使用"
"Enable WYSIWYG","使所见即所得"
"Allow HTML Tags on Storefront","在前端允许 HTML 标签"
"Visible on Catalog Pages on Storefront","可见前端的目录页"
"Used in Product Listing","在产品列表中使用"
"Depends on design theme","取决于设计主题"
"Used for Sorting in Product Listing","用于排序的产品列表"
"Media Image","媒体图像"
"Gallery","图库"
"System Properties","系统属性"
"No","否"
"Yes","是"
"Data Type for Saving in Database","在数据库中保存的数据类型"
"Text","文字"
"Varchar","Varchar"
"Static","静态"
"Datetime","日期时间"
"Decimal","十进制"
"Integer","整数"
"Globally Editable","全球可编辑"
"Attribute Information","属性信息"
"Properties","属性"
"Manage Labels","管理标签"
"Visible","可比较"
"Web Site","网站"
"Searchable","可搜索"
"Comparable","可比性"
"Delete Selected Group","删除所选组"
"Add New","新加"
"Back","后退"
"Delete","删除"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","您将要删除此属性集合中的所有产品。你确定你想要这样做?"
"Save","保存"
"New Set Name","新集的名称"
"Edit Attribute Set '%1'","编辑属性集 '%1'"
"Empty","产品 %1"
"Add Attribute","-- 请选择 --"
"Add New Group","添加新组"
"Add Group","添加组"
"Edit Attribute Set Name","编辑属性集的名称"
"For internal use","供内部使用"
"Based On","请确认网站切换。尚未保存的所有数据将丢失"
"Add New Attribute Set","添加新的属性集"
