"Entity type model '%1' is not found","实体型模式必须是一个实例 \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","实体模类型型必须是实例 \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export.","文件“%1”未找到或已阅读的限制。"
"Entity type model must be an instance of Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType","实体模类型型必须是实例 \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"File directory '%1' is not readable.","文件目录“%1”不是写。"
"File directory '%1' is not writable.","文件目录 '%1' 不是可写的。"
"Value for 'price' sub attribute in 'store' attribute contains incorrect value","'商店' 属性 '价格' 子属性的值包含不正确的值"
"Value for 'type' sub attribute in 'custom_options' attribute contains incorrect value, acceptable values are: 'dropdown', 'checkbox'","值为键入' 子 'custom_options' 属性中的属性包含不正确的值，可接受的值是: 下拉列表中'，'复选框"
"Please enter a value for title.","请输入标题值。"
"Value for 'price' sub attribute in 'custom_options' attribute contains incorrect value","'Custom_options' 属性 '价格' 子属性的值包含不正确的值"
"Value for 'maximum characters' sub attribute in 'custom_options' attribute contains incorrect value","'Custom_options' 属性 '最大字符数子属性的值包含不正确的值"
"Value for 'sort order' sub attribute in 'custom_options' attribute contains incorrect value","'Custom_options' 属性 '价格' 子属性的值包含不正确的值"
"Value for 'value price' sub attribute in 'custom_options' attribute contains incorrect value","'Custom_options' 属性 '排序' 子属性的值包含不正确的值"
"This name is already being used for custom option. Please enter a different name.","这个名字已经被用于自定义选项。请输入一个不同的名称。"
"Custom options have different types.","自定义选项具有不同的类型。"
"Every option entity must have a parent product entity.","每个选项实体必须有一个父产品的实体。"
"Please correct the parameters.","请更正参数。"
"File '%1' was not found or has read restriction.","'%1' 文件未找到或读过限制。"
