"Smth went to exception","Smth went to exception"
"You removed this %1 from the update and saved it in a new one.","You removed this %1 from the update and saved it in a new one."
"You removed this %1 from the update and saved it in the other one.","You removed this %1 from the update and saved it in the other one."
"You removed this %1 from the update.","You removed this %1 from the update."
"Required parameters are missing.","Required parameters are missing."
"You saved this %1 update.","You saved this %1 update."
"ID","ID"
"Rule","规则名称"
"Priority","优先级"
"Web Site","网站"
"Action","操作"
"Edit","编辑"
"Scheduled Changes","Scheduled Changes"
"Start Date","Start Date"
"Start Time","Start Time"
"Name","Name"
"Description","Description"
"End Date","End Date"
"End Time","End Time"
"Update Information","Update Information"
"Remove Catalog Rule from Update","Remove Catalog Rule from Update"
"Save as a new update","Save as a new update"
"Update Name","Update Name"
"Start date","Start date"
"End date","End date"
"Rule Information","Rule Information"
"Conditions","Conditions"
"Actions","Actions"
"Move to another scheduled change","Move to another scheduled change"
"Delete the scheduled change","Delete the scheduled change"
"Deleting the change will remove the catalog rule from this update and all scheduled changes will be lost.","Deleting the change will remove the catalog rule from this update and all scheduled changes will be lost."
"20","20"
"30","30"
"50","50"
"100","100"
"200","200"
"Websites","Websites"
"Catalog Price Rules","Catalog Price Rules"
