"Conditions Combination","条件组合"
"Product Attribute","产品属性"
"SKU","SKU"
"Please choose a condition to add.","请选择要添加的条件"
"Add to Cart","添加到购物车"
"In stock","有货"
"Out of stock","缺货"
"Add to Wish List","添加到收藏夹"
"Add to Compare","添加并比较"
"Catalog Products List","产品网格模板"
"List of Products","产品列表"
"Title","标题"
"Display Page Control","如果没有设置，默认为86400。为了实是更新，请清空HTML块缓存输出"
"Number of Products per Page","每页显示的产品数量"
"Number of Products to Display","显示产品的数量"
"Template","模板"
"Products Grid Template","产品网格模板"
"Cache Lifetime (Seconds)","缓存有效期 (秒)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","由 86400 默认情况下，如果不是设置。若要立即刷新，请清除块 HTML 输出缓存。"
"Conditions","条件"
