"Default Config","默认配置"
"Save Config","现场3。1。1"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[STORE VIEW]"
"Use Default","使用默认"
"Use Website","使用网站"
"Add","添加"
"Delete File","删除文件"
"Search String","搜索字符串"
"Design Theme","设计网站模板"
"Add \Exception","添加 \Exception"
"-- No Theme --","— — 无主题 — —"
"Enable","启用"
"Disable","禁用"
"Configuration","设置"
"System","系统"
"You saved the configuration.","您已保存的配置。"
"Something went wrong while saving this configuration:","保存此配置时，出现了错误:"
"Page not found.","找不到网页。"
"Please specify the admin custom URL.","请指定管理员自定义 URL。"
"Invalid %1. %2","无效的 %1。%2"
"Value must be a URL or one of placeholders: %1","值必须是一个 URL 或占位符之一: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","指定 URL 或路径开头预留: %1，并以""/""。"
"%1 An empty value is allowed as well.","%1 空值也被允许。"
"Specify a fully qualified URL.","指定一个完全合格的 URL。"
"Selected allowed currency ""%1"" is not available in installed currencies.","所选允许的货币""%1""在已安装货币中不可用。"
"Default display currency ""%1"" is not available in allowed currencies.","默认显示货币""%1""在允许货币中不可用。"
"Sorry, we haven't installed the base currency you selected.","对不起，我们还没有安装您选择的基础货币。"
"We can't save the Cron expression.","我们不能保存货币表达式"
"Sorry, we haven't installed the default display currency you selected.","对不起，我们还没有安装您选择的默认显示货币。"
"Sorry, the default display currency you selected is not available in allowed currencies.","很抱歉，您所选的默认显示货币不可允许货币。"
"Please correct the email address: ""%1"".","请正确的电子邮件地址:""%1""。"
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","发件人名称""%1""不是有效的。请使用仅可见字符和空格。"
"Maximum sender name length is 255. Please correct your settings.","最大发件人名称长度是 255。请更正您的设置。"
"The file you're uploading exceeds the server size limit of %1 kilobytes.","您所上传的文件超过服务器 %1 千字节的大小限制。"
"The base directory to upload file is not specified.","未指定要上载文件的基目录。"
"The specified image adapter cannot be used because of: %1","不能因为使用指定的图像适配器: %1"
"Default scope","默认范围"
"Base currency","基础货币"
"Display default currency","显示默认货币"
"website(%1) scope","website(%1) 范围"
"store(%1) scope","store(%1) 范围"
"Currency ""%1"" is used as %2 in %3.","作为 %2 在 %3 中使用货币""%1""。"
"Please correct the timezone.","请正确的时区。"
"The file ""%1"" does not exist","""%1""文件不存在"
"Always (during development)","总是 (发育)"
"Only Once (version upgrade)","只有一次 (版本升级)"
"Never (production)","从来没有 (生产)"
"Bcc","Bcc"
"Separate Email","单独的电子邮件"
"%1 (Default)","%1 (默认值)"
"title","标题"
"No","否"
"Optional","可选"
"Required","必填"
"Website","网站"
"Store","商店"
"Store View","商店界面"
"HTTP (unsecure)","HTTP (不安全)"
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","是的 (302 发现)"
"Yes (301 Moved Permanently)","是的 (301 永久移动)"
"Yes","是"
"Specified","指定"
"Config form fieldset clone model required to be able to clone fields","能够克隆领域所需的配置窗体字段集克隆模型"
"Invalid XML in file %1:
%2","无效的XML在文件%1:
%2"
".","."
"some_label","some_label"
"some_comment","some_comment"
"some prefix","一些前缀"
"element label","元素标签"
"element hint","元素的提示"
"element comment","元素的评论"
"element tooltip","元素的工具提示"
"test","测试"
"test2","test2"
"Add after","添加后"
"Delete","删除"
"Current Configuration Scope:","当前的配置作用域:"
"Stores","商店"
"Group Label","组标签"
"Some Label","有些标签"
"Tab Label","选项卡标签"
"Field 2","字段 2"
"Field 3","字段 3"
"Field 3.1","字段 3.1"
"Field 3.1.1","3.1.1 字段"
"Field 4","字段 4"
