"Sign Out","退出"
"Sign In","您已成功退出"
"You subscribe to our newsletter.","您订阅我们的时事通讯。"
"You don't subscribe to our newsletter.","您没有订阅我们的时事通讯。"
"You have not set a default shipping address.","您没有设置默认的送货地址。"
"You have not set a default billing address.","您没有设置默认的帐单地址。"
"Address Book","通讯簿"
"Edit Address","更改账单地址"
"Add New Address","添加新地址"
"region","地区"
"Create Order","未指定项目"
"Save Customer","保存客户"
"Delete Customer","删除客户"
"Reset Password","你的密码重设链接已过期。"
"Are you sure you want to revoke the customer's tokens?","你确定你想要撤销客户的令牌?"
"Force Sign-In","强制登录"
"New Customer","新用户"
"Save and Continue Edit","保存并继续编辑"
"Back","后退"
"Please select","请选择"
"Reset","重置"
"ID","ID"
"Product","产品"
"SKU","SKU"
"Quantity","数量"
"Price","价格"
"Total","总额"
"Action","操作"
"Configure","配置"
"Delete","删除"
"Shopping Cart from %1","从 %1 购物车"
"Newsletter","已暂停"
"Newsletter Information","通讯信息"
"Subscribed to Newsletter","订阅新闻通讯"
"Last Date Subscribed","订阅的最后日期"
"Last Date Unsubscribed","取消订阅的最后日期"
"No Newsletter Found","发现没有通讯"
"Start date","开始日期"
"End Date","结束日期"
"Receive Date","接收日期"
"Subject","主题"
"Status","状态"
"Sent","已发送"
"Cancel","保存"
"Not Sent","未发送"
"Sending","发送"
"Paused","已暂停"
"View","查看"
"Unknown","未知"
"Order","订单"
"Purchased","已购买"
"Bill-to Name","收件人姓名"
"Ship-to Name","Ship-to名称"
"Order Total","订单金额"
"Purchase Point","购买点"
"Customer View","客户视图"
"There are no items in customer's shopping cart.","客户的购物车中没有项目。"
"Qty","数量"
"Confirmed","确认"
"Confirmation Required","需要确认"
"Confirmation Not Required","不需确认"
"Indeterminate","不确定"
"The customer does not have default billing address.","客户没有默认的帐单地址。"
"Offline","离线"
"Online","在线"
"Never","永不"
"Deleted Stores","已删除存储区"
"Add Locale","收藏的天数"
"Add Date","添加日期"
"Days in Wish List","天在愿望清单"
"No","否"
"Yes","是"
"Delete File","删除文件"
"Download","下载"
"Delete Image","全尺寸视图"
"View Full Size","查看全尺寸"
"All countries","所有国家"
"Customer Groups","客户组"
"Add New Customer Group","添加新客户组"
"Save Customer Group","保存客户组"
"Delete Customer Group","删除客户组"
"New Customer Group","新的客户群体"
"Edit Customer Group ""%1""","编辑客户组""%1"""
"Group Information","组信息"
"Group Name","群组名称"
"Maximum length must be less then %1 symbols","最大长度必须少然后 %1 符号"
"Tax Class","税收类"
"The customer is now assigned to Customer Group %s.","客户现在分配给客户组 %s。"
"Would you like to change the Customer Group for this order?","若要更改此订单的客户组，好吗?"
"The VAT ID is valid.","增值税 ID 是有效的。"
"The VAT ID entered (%s) is not a valid VAT ID.","输入的增值税 ID (%s) 不是一个有效增值税 id。"
"The VAT ID is valid. The current Customer Group will be used.","增值税 ID 是有效的。将使用当前的客户组。"
"The VAT ID is valid but no Customer Group is assigned for it.","增值税 ID 是有效的但没有客户组分配给它。"
"Based on the VAT ID, the customer belongs to the Customer Group %s.","基于增值税 ID，客户属于客户组 %s。"
"Something went wrong while validating the VAT ID.","出事时验证增值税 id。"
"The customer would belong to Customer Group %s.","客户将属于客户组 %s。"
"There was an error detecting Customer Group.","检测客户组时出错。"
"Validate VAT Number","验证增值税号码"
"Customer Login","客户登录"
"Create New Customer Account","创建新的客户帐户"
"Date of Birth","出生日期"
"Bad request.","请求有误。"
"This confirmation key is invalid or has expired.","此确认密钥无效或已过期。"
"There was an error confirming the account","确认该帐户时出错"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","如果您是注册的增值税客户，请点击 <a href=""%1""> 这里</a>，输入适当的增值税计算您的送货地址。"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","如果您是注册的增值税客户，请点击 <a href=""%1""> 这里</a>，您的帐单地址输入适当的增值税计算。"
"Thank you for registering with %1.","感谢您注册与 %1。"
"Please check your email for confirmation key.","请检查您的电子邮件确认键。"
"This email does not require confirmation.","这封电子邮件不要求确认。"
"Wrong email.","错误的 Email 格式"
"Your password reset link has expired.","您的密码重置链接已过期。"
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","您必须确认您的帐户，请检查您电子邮件的确认链接或<a href=""%1"">点击此处</a>打开一个新的链接。"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","已存在此电子邮件地址的帐户。如果你确信它是您的电子邮件地址，<a href=""%1""> 请单击此处</a> 以获取您的密码和访问您的帐户。"
"We can't save the customer.","我们不能保存客户。"
"Please make sure your passwords match.","请确保您的密码相匹配。"
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","如果您是注册的增值税客户，请 <a href=""%1""> 点击此处</a> 输入您的运输地址适当增值税的计算。"
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","如果您是注册的增值税客户，请 <a href=""%1""> 点击此处</a> 输入您的运输地址适当增值税的计算。"
"Account Information","账户信息"
"Invalid input","无效的输入"
"You saved the account information.","你保存的帐户信息。"
"Please enter new password.","请输入新密码。"
"Confirm your new password.","确认您的新密码。"
"Something went wrong while changing the password.","在更改密码时出了错。"
"Please correct the email address.","请正确的电子邮件地址。"
"We're unable to send the password reset email.","我们无法发送重新设置密码的电子邮件。"
"Please enter your email.","请输入您的电子邮箱地址。"
"If there is an account associated with %1 you will receive an email with a link to reset your password.","如果与 %1 相关联的帐户，则您将收到电子邮件链接重置您的密码。"
"My Account","我的账户"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","此帐户尚未确认。<a href=""%1""> 点击这里</a> 重新发送确认电子邮件。"
"Invalid login or password.","无效的登录名或密码。"
"A login and a password are required.","登录名和密码是必需的。"
"New Password and Confirm New Password values didn't match.","新密码和确认新密码值不匹配。"
"Please enter a new password.","请输入一个新密码。"
"You updated your password.","您更新您的密码。"
"Something went wrong while saving the new password.","保存新密码时出了错。"
"You deleted the address.","你删除地址。"
"We can't delete the address right now.","我们现在不能删除该地址。"
"You saved the address.","你保存的地址。"
"We can't save the address.","我们不能保存地址。"
"No customer ID defined.","没有定义的客户 ID。"
"Please correct the quote items and try again.","请更正报价项目，再试一次。"
"You have revoked the customer's tokens.","你已吊销客户的令牌。"
"We can't find a customer to revoke.","我们找不到客户撤销。"
"You deleted the customer group.","你删除客户组。"
"The customer group no longer exists.","客户组不再存在。"
"Customers","客户"
"New Group","新组"
"New Customer Groups","新的客户群体"
"Edit Group","编辑组"
"Edit Customer Groups","编辑客户组"
"You saved the customer group.","你保存的客户组。"
"Please select customer(s).","请选择客户。"
"Customer could not be deleted.","无法删除客户。"
"You deleted the customer.","你删除的客户。"
"Something went wrong while editing the customer.","编辑客户时出了错。"
"Manage Customers","客户管理"
"Please correct the data sent.","请更正发送的数据。"
"A total of %1 record(s) were updated.","更新记录 %1"
"A total of %1 record(s) were deleted.","共有 %1 条记录被删除。"
"The customer will receive an email with a link to reset password.","客户将收到一封电子邮件以将其重置密码的链接。"
"Something went wrong while resetting customer password.","在重置用户密码时出了错。"
"You saved the customer.","你保存的客户。"
"Something went wrong while saving the customer.","编辑客户时出了错。"
"Page not found.","找不到网页。"
"Online Customers","在线客户"
"Customers Now Online","客户现在在线"
"Please define Wish List item ID.","请定义的收藏列表项 id。"
"Please load Wish List item.","请加载的收藏列表项。"
"Login successful.","登录成功。"
"""%1"" section source is not supported","不支持""%1""节源"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 不延长 \Magento\Customer\CustomerData\SectionSourceInterface"
"No confirmation needed.","没有需要的确认。"
"Account already active","帐户已激活"
"Invalid confirmation token","无效的确认令牌"
"This account is not confirmed.","此帐户尚未确认。"
"This customer already exists in this store.","此客户已存在于此存储。"
"A customer with the same email already exists in an associated website.","相关网站中已存在具有相同的电子邮件的客户。"
"The password doesn't match this account.","密码不匹配此帐户。"
"Please enter a password with at least %1 characters.","请至少输入一个密码与 %1 字符。"
