"We were unable to perform the search because of a search engine misconfiguration.","我们未能执行搜索，因为搜索引擎配置不正确。"
"Could not ping search engine: %1","不能 ping 搜索引擎: %1"
"Elasticsearch Server Hostname","Elasticsearch 服务器主机名"
"Elasticsearch Server Port","Elasticsearch 服务器端口"
"Elasticsearch Index Prefix","Elasticsearch 索引前缀"
"Enable Elasticsearch HTTP Auth","启用 Elasticsearch HTTP 身份验证"
"Elasticsearch HTTP Username","Elasticsearch HTTP 用户名"
"Elasticsearch HTTP Password","Elasticsearch HTTP 密码"
"Elasticsearch Server Timeout","Elasticsearch 服务器超时"
"Test Connection","测试连接"
