"Grouped Products","组合产品的图片"
"Please specify the quantity of product(s).","请指定产品的数量。"
"Cannot process the item.","无法处理该项目。"
"Associated Products","相关产品"
"Availability:","库存:"
"Out of stock","缺货"
"ID","ID"
"SKU","SKU"
"Product Name","产品名称"
"Price","价格"
"Qty","数量"
"No options of this product are available.","该产品没有可用选项。"
"There are no grouped products.","没有分组的产品。"
"Name","名字"
"Default Qty","默认数量"
"Starting at","起价"
"Availability","库存"
"In stock","有货"
"Grouped product items","组合的产品项目"
"Add Products to Group","将产品添加到组"
"Add Selected Products","添加所选的产品"
"Grouped Product Image","组合的产品的图片"
