"Synchronize","选择新的媒体存储位置后， 按“同步”按钮将所有媒体传送到该位置。直到同步过程完成媒体将不会在新的位置。"
"Synchronizing %1 to %2","同步到 %2 %1"
"Synchronizing...","正在同步..."
"The timeout limit for response from synchronize process was reached.","从响应同步进程已达到超时限制。"
"File %1 does not exist","%1 文件不存在"
"File %1 is not readable","%1 文件是不可读"
"File System","文件系统"
"Database","数据库"
"database ""%1""","数据库""%1"""
"Parent directory does not exist: %1","父目录不存在: %1"
"File system","文件系统"
"Unable to save file ""%1"" at ""%2""","无法保存文件""%1""在""%2"""
"Wrong file info format","错误的文件信息格式"
"Path ""%value%"" is protected and cannot be used.","路径""%value%""受保护，不能用。"
"Path ""%value%"" is not available and cannot be used.","路径""%value%""不可用，不能用。"
"Path \"%value%\" may not include parent directory traversal (\"../\", \"..\\\").","Path \"%value%\" may not include parent directory traversal (\"../\", \"..\\\")."
"Please set available and/or protected paths list(s) before validation.","请设置前验证可用和/或受保护的路径列表。"
"File with an extension ""%value%"" is protected and cannot be uploaded","""%value%""扩展名的文件受到保护，不能上传"
"Unable to create directory: %1","无法创建目录: %1"
"Unable to save file: %1","无法保存文件: %1"
"Storage Configuration for Media","媒体存储配置。"
"Media Storage","多媒体储存"
"Select Media Database","选择媒体数据库"
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.","选择一个新的媒体存储位置后, 按同步按钮，将所有媒体都传送到该位置。媒体将不可用在新位置同步过程完成之前。"
"Environment Update Time","环境更新时间"
