"Back","后退"
"Save Warehouse","保存仓库"
"Disable Warehouse","禁用仓库"
"Enable Warehouse","启用仓库"
"Warehouse","仓库"
"New Warehouse","新仓库"
"Manage Warehouse","仓库管理"
"Please correct the data sent.","请更正发送的数据。"
"Please select a user","请选择用户"
"Requested warehouse doesn\'t exist","Requested warehouse doesn\'t exist"
"Test error message","测试错误消息"
"Edit","编辑"
"Multiple Location Inventory","Multiple Location Inventory"
"Change status of warehouse","Change status of warehouse"
"Edit warehouse","Edit warehouse"
"Manage Warehouses","Manage Warehouses"
"Warehouse Information","仓库信息"
"Use default address","使用默认地址"
"Street Address","街道地址"
"Add New Warehouse","添加新的仓库"
"ID","ID"
"Name","名字"
"Contact Name","联系人姓名"
"Email","邮箱"
"Country","国家"
"State/Province","州/省"
"City","城市"
"Street","街道"
"ZIP","邮编"
"Status","状态"
"Phone","电话"
"Fax","传真"
