"Country","国家"
"Region/State","地区/国家"
"Zip/Postal Code","邮编"
"Shipping Price","包括虚拟产品的价格计算"
"Export CSV","导出 CSV"
"Store Pickup","存储拾取"
"Weight vs. Destination","重量与目的地"
"Price vs. Destination","价格与目的地"
"# of Items vs. Destination","# 的项目与目标"
"Weight (and above)","重量 (及以上)"
"Order Subtotal (and above)","订单小计 (及以上)"
"# of Items (and above)","# 项目 (及以上)"
"Please correct Table Rate code type: %1.","请更正表率代码类型: %1。"
"Please correct Table Rate code for type %1: %2.","请更正表率类型 %1 代码: %2。"
"None","无"
"Per Order","每个订单"
"Per Item","每个项目"
"Please correct Table Rates File Format.","请更正表费率文件格式。"
"Something went wrong while importing table rates.","导入表费率时出了错。"
"We couldn't import this file because of these errors: %1","我们不能因为这些错误导入此文件: %1"
"Please correct Table Rates format in the Row #%1.","请正确的表费率格式行 #%1。"
"Please correct Country ""%1"" in the Row #%2.","请更正国家""%1""在行 #%2。"
"Please correct Region/State ""%1"" in the Row #%2.","请更正区域/国家""%1""在行 #%2。"
"Please correct %1 ""%2"" in the Row #%3.","请更正 %1""%2""在行 #%3。"
"Please correct Shipping Price ""%1"" in the Row #%2.","请更正送货价格""%1""在行 #%2。"
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")","重复行 #%1 (国家""%2""，区域/国家""%3""Zip""%4""和值""%5"")"
"Free Shipping","免费送货"
"No","否"
"For matching items only","只匹配项"
"For shipment with matching items","为匹配项的装运"
"Flat Rate","扁平率"
"Enabled","启动"
"Method Name","方法名称"
"Price","价格"
"Calculate Handling Fee","显示不适用的方法"
"Handling Fee","处理费"
"Sort Order","排序"
"Title","标题"
"Type","类型"
"Ship to Applicable Countries","运到适用的国家"
"Ship to Specific Countries","运到特定国家"
"Show Method if Not Applicable","Show 方法如果不适用"
"Displayed Error Message","显示的错误消息"
"Table Rates","费率表"
"Condition","条款"
"Include Virtual Products in Price Calculation","在价格计算中包括虚拟产品"
"Export","导出"
"Import","导入"
"Minimum Order Amount","最低订单金额"
