"Billing Agreements","
                    <a href=""https:/financing。paypal。com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing。</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;。 Your customers have more time to pay, while you get paid up front – at no additional cost to you。
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal。
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more。 <a href=""https:/financing。paypal。com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>。
                "
"ID","ID"
"Email","邮箱"
"First Name","姓"
"Last Name","姓"
"Reference ID","引用 ID"
"Status","状态"
"Created","创建"
"N/A","N/A"
"Updated","已更新"
"Back","后退"
"Are you sure you want to do this?","您确认要这么做么？"
"Cancel","取消"
"Billing Agreement #%1","计费协议 #%1"
"General Information","常规信息"
"Related Orders","相关的订单"
"Order","订单"
"Purchased","已购买"
"Bill-to Name","收件人姓名"
"Ship-to Name","Ship-to名称"
"Order Total","订单金额"
"Purchase Point","购买点"
"Billing Agreement View","计费协议视图"
"View Transaction Details","查看交易记录详细信息"
"Reference Information","参考信息"
"Transaction Information","交易信息"
"PayPal Fee Information","贝宝收费信息"
"PayPal Settlement Reports","PayPal处理报告"
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","我们正在连接到贝宝 SFTP 服务器以检索新的报告。你确定要继续吗?"
"Fetch Updates","获取更新"
"button_label","按钮名称"
"sandbox_button_label","sandbox_button_label"
"Help","帮助"
"Configure","配置"
"Close","关闭"
"Learn More","了解更多"
"View Demo","查看演示"
"See terms","请参阅条款"
"You will be redirected to the PayPal website.","您将被重定向到 PayPal 网站。"
"You will be redirected to the PayPal website when you place an order.","您将被重定向到 PayPal 网站当您下订单。"
"Incl. Tax","含。税"
"Billing Information","订单总览"
"Shipping Information","运输方式"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","你想签账单的协议，以进一步精简与贝宝购买吗?"
"Invalid block type","无效的模块类型"
"Please specify the correct billing agreement ID and try again.","请指定正确的账单协议 ID，然后重试。"
"You canceled the billing agreement.","你取消账单协议。"
"We can't cancel the billing agreement.","我们不能取消账单协议。"
"You deleted the billing agreement.","你删除账单协议。"
"We can't delete the billing agreement.","我们不能删除账单协议。"
"Reports","报告"
"Sales","销售"
"View Transaction","查看交易记录"
"We found nothing to fetch because of an empty configuration.","我们发现什么取空的配置。"
"We fetched %1 report rows from ""%2@%3.""","我们提取 %1 报告行从""%2@%3""。"
