"You removed this %1 from the update and saved it in a new one.","You removed this %1 from the update and saved it in a new one."
"You removed this %1 from the update and saved it in the other one.","You removed this %1 from the update and saved it in the other one."
"You removed this %1 from the update.","You removed this %1 from the update."
"Required parameters are missing.","Required parameters are missing."
"You saved this %1 update.","You saved this %1 update."
"ID","ID"
"Rule","Rule"
"Coupon Code","Coupon Code"
"Priority","Priority"
"Status","Status"
"Active","Active"
"Inactive","Inactive"
"Web Site","Web Site"
"Action","Action"
"Edit","Edit"
"Scheduled Changes","Scheduled Changes"
"Start Date","Start Date"
"Start Time","Start Time"
"Name","Name"
"Description","Description"
"End Date","End Date"
"End Time","End Time"
"Update Information","Update Information"
"Remove Sales Rule from Update","Remove Sales Rule from Update"
"Save as a new update","Save as a new update"
"Update Name","Update Name"
"Start date","Start date"
"End date","End date"
"Select from existing Scheduled Update","Select from existing Scheduled Update"
"Rule Information","Rule Information"
"Websites","Websites"
"Customer Groups","Customer Groups"
"Public In RSS Feed","Public In RSS Feed"
"Conditions","Conditions"
"Actions","Actions"
"Apply","Apply"
"Discount Amount","Discount Amount"
"Maximum Qty Discount is Applied To","Maximum Qty Discount is Applied To"
"Discount Qty Step (Buy X)","Discount Qty Step (Buy X)"
"Apply to Shipping Amount","Apply to Shipping Amount"
"Discard subsequent rules","Discard subsequent rules"
"Labels","Labels"
"Default Rule Label for All Store Views","Default Rule Label for All Store Views"
"Move to another scheduled change","Move to another scheduled change"
"Delete the scheduled change","Delete the scheduled change"
"Deleting the change will remove the sales rule from this update and all scheduled changes will be lost.","Deleting the change will remove the sales rule from this update and all scheduled changes will be lost."
"20","20"
"30","30"
"50","50"
"100","100"
"200","200"
"Cart Price Rules","Cart Price Rules"
