"Swatch Helper: not valid parameter for product instantiation","Swatch"
"Admin is a required field in the each row","Admin is a required field in the each row"
"Update Product Preview Image","更新产品预览图像"
"Filtering by this attribute will update the product image on catalog page","通过此属性筛选将更新目录页上的产品图像"
"Use Product Image for Swatch if Possible","如果可能的话使用色板产品形象"
"Allows use fallback logic for replacing swatch image with product swatch or base image","允许使用回退逻辑色板图像替换产品色板或基地形象"
"Visual Swatch","视觉的色板"
"Text Swatch","文本色板"
"Manage Swatch (values of your attribute)","管理色板 (您的属性值)"
"Is Default","为默认值"
"Add Swatch","添加色板"
"Sort Option","排序选项"
"Delete","删除"
"Swatch","色板"
"Step 2: Attribute Values","第 2 步: 属性值"
"Select values from each attribute to include in this product. Each unique combination of values creates a unigue product SKU.","从要在该产品中包含每个属性选择值。每个唯一值的组合创建独特产品的 SKU。"
"Sort Variations","排序变化"
"Options","选项"
"Select All","选择全部"
"Deselect All","取消选择所有"
"Remove Attribute","删除属性"
"Save Option","保存选项"
"Remove Option","删除选项"
"Create New Value","创造新的价值"
"Swatches per Product","每个产品的色板"
